,Latitude,Longitude,,sum paid,jan_r,feb_r,mar_r,apr_r,may_r,jun_r,jul_r,aug_r,sep_r,oct_r,nov_r,dec_r,avg_r,jan_t,feb_t,mar_t,apr_t,may_t,jun_t,jul_t,aug_t,sep_t,oct_t,nov_t,dec_t
15,17.8,-64.7,"(17.8, -64.7)",6840532.4,6.727496917,7.097165992,9.026963658,9.929802956,11.74332172,10.88790233,11.6259542,14.48208092,21.68446026,17.16168328,22.62004662,11.8891455,12.90633536,68.24805624,70.27731397,72.63407775,76.0791453,79.7853598,82.59525641,83.8751861,84.02200165,82.7917094,79.76162117,74.79991453,70.84772539
16,17.8,-64.6,"(17.8, -64.6)",17048636,6.727496917,7.097165992,9.026963658,9.929802956,11.74332172,10.88790233,11.6259542,14.48208092,21.68446026,17.16168328,22.62004662,11.8891455,12.90633536,68.24805624,70.27731397,72.63407775,76.0791453,79.7853598,82.59525641,83.8751861,84.02200165,82.7917094,79.76162117,74.79991453,70.84772539
17,18,-67.2,"(18, -67.2)",3137696.15,3.030868629,3.584026622,5.814788227,7.567776917,11.39459865,7.007570023,8.170168067,14.46866097,17.58452951,17.62889066,12.69600652,4.044267054,9.416012654,68.24805624,70.27731397,72.63407775,76.0791453,79.7853598,82.59525641,83.8751861,84.02200165,82.7917094,79.76162117,74.79991453,70.84772539
18,18,-67.1,"(18, -67.1)",3137696.15,3.030868629,3.584026622,5.814788227,7.567776917,11.39459865,7.007570023,8.170168067,14.46866097,17.58452951,17.62889066,12.69600652,4.044267054,9.416012654,68.24805624,70.27731397,72.63407775,76.0791453,79.7853598,82.59525641,83.8751861,84.02200165,82.7917094,79.76162117,74.79991453,70.84772539
19,18,-67,"(18, -67)",86100.58,3.030868629,3.584026622,5.814788227,7.567776917,11.39459865,7.007570023,8.170168067,14.46866097,17.58452951,17.62889066,12.69600652,4.044267054,9.416012654,68.24805624,70.27731397,72.63407775,76.0791453,79.7853598,82.59525641,83.8751861,84.02200165,82.7917094,79.76162117,74.79991453,70.84772539
20,18,-66.9,"(18, -66.9)",3137696.15,3.030868629,3.584026622,5.814788227,7.567776917,11.39459865,7.007570023,8.170168067,14.46866097,17.58452951,17.62889066,12.69600652,4.044267054,9.416012654,68.24805624,70.27731397,72.63407775,76.0791453,79.7853598,82.59525641,83.8751861,84.02200165,82.7917094,79.76162117,74.79991453,70.84772539
21,18,-66.8,"(18, -66.8)",3137696.15,7.694957983,8.299090909,12.1773555,22.2300813,24.80449251,14.53507341,21.00711462,26.63776635,37.09829407,33.03942953,20.69686411,8.083756345,19.69202305,68.24805624,70.27731397,72.63407775,76.0791453,79.7853598,82.59525641,83.8751861,84.02200165,82.7917094,79.76162117,74.79991453,70.84772539
22,18,-66.7,"(18, -66.7)",126078.8,3.030868629,3.584026622,5.814788227,7.567776917,11.39459865,7.007570023,8.170168067,14.46866097,17.58452951,17.62889066,12.69600652,4.044267054,9.416012654,68.24805624,70.27731397,72.63407775,76.0791453,79.7853598,82.59525641,83.8751861,84.02200165,82.7917094,79.76162117,74.79991453,70.84772539
23,18,-66.6,"(18, -66.6)",1080325.75,3.030868629,3.584026622,5.814788227,7.567776917,11.39459865,7.007570023,8.170168067,14.46866097,17.58452951,17.62889066,12.69600652,4.044267054,9.416012654,68.24805624,70.27731397,72.63407775,76.0791453,79.7853598,82.59525641,83.8751861,84.02200165,82.7917094,79.76162117,74.79991453,70.84772539
24,18,-66.5,"(18, -66.5)",1080325.75,3.030868629,3.584026622,5.814788227,7.567776917,11.39459865,7.007570023,8.170168067,14.46866097,17.58452951,17.62889066,12.69600652,4.044267054,9.416012654,68.24805624,70.27731397,72.63407775,76.0791453,79.7853598,82.59525641,83.8751861,84.02200165,82.7917094,79.76162117,74.79991453,70.84772539
25,18,-66.4,"(18, -66.4)",6429.39,3.030868629,3.584026622,5.814788227,7.567776917,11.39459865,7.007570023,8.170168067,14.46866097,17.58452951,17.62889066,12.69600652,4.044267054,9.416012654,68.24805624,70.27731397,72.63407775,76.0791453,79.7853598,82.59525641,83.8751861,84.02200165,82.7917094,79.76162117,74.79991453,70.84772539
26,18,-66.3,"(18, -66.3)",6429.39,3.030868629,3.584026622,5.814788227,7.567776917,11.39459865,7.007570023,8.170168067,14.46866097,17.58452951,17.62889066,12.69600652,4.044267054,9.416012654,68.24805624,70.27731397,72.63407775,76.0791453,79.7853598,82.59525641,83.8751861,84.02200165,82.7917094,79.76162117,74.79991453,70.84772539
27,18,-66.2,"(18, -66.2)",6429.39,12.82436011,12.88822355,9.747883349,14.36891386,23.67153285,20.74787535,20.56330749,25.16952209,32.21028037,33.5187901,32.83257091,19.28197946,21.48543662,68.24805624,70.27731397,72.63407775,76.0791453,79.7853598,82.59525641,83.8751861,84.02200165,82.7917094,79.76162117,74.79991453,70.84772539
28,18,-66.1,"(18, -66.1)",6429.39,12.82436011,12.88822355,9.747883349,14.36891386,23.67153285,20.74787535,20.56330749,25.16952209,32.21028037,33.5187901,32.83257091,19.28197946,21.48543662,68.24805624,70.27731397,72.63407775,76.0791453,79.7853598,82.59525641,83.8751861,84.02200165,82.7917094,79.76162117,74.79991453,70.84772539
29,18,-66,"(18, -66)",3137696.15,12.82436011,12.88822355,9.747883349,14.36891386,23.67153285,20.74787535,20.56330749,25.16952209,32.21028037,33.5187901,32.83257091,19.28197946,21.48543662,68.24805624,70.27731397,72.63407775,76.0791453,79.7853598,82.59525641,83.8751861,84.02200165,82.7917094,79.76162117,74.79991453,70.84772539
30,18,-65.9,"(18, -65.9)",568358.59,12.82436011,12.88822355,9.747883349,14.36891386,23.67153285,20.74787535,20.56330749,25.16952209,32.21028037,33.5187901,32.83257091,19.28197946,21.48543662,68.24805624,70.27731397,72.63407775,76.0791453,79.7853598,82.59525641,83.8751861,84.02200165,82.7917094,79.76162117,74.79991453,70.84772539
31,18,-65.8,"(18, -65.8)",591397.74,12.82436011,12.88822355,9.747883349,14.36891386,23.67153285,20.74787535,20.56330749,25.16952209,32.21028037,33.5187901,32.83257091,19.28197946,21.48543662,68.24805624,70.27731397,72.63407775,76.0791453,79.7853598,82.59525641,83.8751861,84.02200165,82.7917094,79.76162117,74.79991453,70.84772539
32,18.1,-67.2,"(18.1, -67.2)",199970.02,3.030868629,3.584026622,5.814788227,7.567776917,11.39459865,7.007570023,8.170168067,14.46866097,17.58452951,17.62889066,12.69600652,4.044267054,9.416012654,68.24805624,70.27731397,72.63407775,76.0791453,79.7853598,82.59525641,83.8751861,84.02200165,82.7917094,79.76162117,74.79991453,70.84772539
33,18.1,-67.1,"(18.1, -67.1)",199970.02,3.030868629,3.584026622,5.814788227,7.567776917,11.39459865,7.007570023,8.170168067,14.46866097,17.58452951,17.62889066,12.69600652,4.044267054,9.416012654,68.24805624,70.27731397,72.63407775,76.0791453,79.7853598,82.59525641,83.8751861,84.02200165,82.7917094,79.76162117,74.79991453,70.84772539
34,18.1,-67,"(18.1, -67)",199970.02,13.74431301,13.18650794,11.79254302,17.36913357,27.16839135,24.56529517,25.94688027,28.50325203,35.40112465,28.76373626,28.9299691,18.61388074,22.83208559,68.24805624,70.27731397,72.63407775,76.0791453,79.7853598,82.59525641,83.8751861,84.02200165,82.7917094,79.76162117,74.79991453,70.84772539
35,18.1,-66.7,"(18.1, -66.7)",199970.02,7.694957983,8.299090909,12.1773555,22.2300813,24.80449251,14.53507341,21.00711462,26.63776635,37.09829407,33.03942953,20.69686411,8.083756345,19.69202305,68.24805624,70.27731397,72.63407775,76.0791453,79.7853598,82.59525641,83.8751861,84.02200165,82.7917094,79.76162117,74.79991453,70.84772539
36,18.1,-66.6,"(18.1, -66.6)",199970.02,12.82436011,12.88822355,9.747883349,14.36891386,23.67153285,20.74787535,20.56330749,25.16952209,32.21028037,33.5187901,32.83257091,19.28197946,21.48543662,68.24805624,70.27731397,72.63407775,76.0791453,79.7853598,82.59525641,83.8751861,84.02200165,82.7917094,79.76162117,74.79991453,70.84772539
37,18.1,-66.5,"(18.1, -66.5)",199970.02,3.030868629,3.584026622,5.814788227,7.567776917,11.39459865,7.007570023,8.170168067,14.46866097,17.58452951,17.62889066,12.69600652,4.044267054,9.416012654,68.24805624,70.27731397,72.63407775,76.0791453,79.7853598,82.59525641,83.8751861,84.02200165,82.7917094,79.76162117,74.79991453,70.84772539
38,18.1,-66.4,"(18.1, -66.4)",18181.74,12.82436011,12.88822355,9.747883349,14.36891386,23.67153285,20.74787535,20.56330749,25.16952209,32.21028037,33.5187901,32.83257091,19.28197946,21.48543662,68.24805624,70.27731397,72.63407775,76.0791453,79.7853598,82.59525641,83.8751861,84.02200165,82.7917094,79.76162117,74.79991453,70.84772539
39,18.1,-66.3,"(18.1, -66.3)",46244.93,12.82436011,12.88822355,9.747883349,14.36891386,23.67153285,20.74787535,20.56330749,25.16952209,32.21028037,33.5187901,32.83257091,19.28197946,21.48543662,68.24805624,70.27731397,72.63407775,76.0791453,79.7853598,82.59525641,83.8751861,84.02200165,82.7917094,79.76162117,74.79991453,70.84772539
40,18.1,-66.2,"(18.1, -66.2)",46244.93,16.91278195,13.39386602,17.03213752,25.51353638,25.16640747,9.685337727,14.46923077,20.94144838,31.40982287,27.50866142,27.2287793,21.20941176,20.87261846,68.24805624,70.27731397,72.63407775,76.0791453,79.7853598,82.59525641,83.8751861,84.02200165,82.7917094,79.76162117,74.79991453,70.84772539
41,18.1,-66.1,"(18.1, -66.1)",46244.93,12.82436011,12.88822355,9.747883349,14.36891386,23.67153285,20.74787535,20.56330749,25.16952209,32.21028037,33.5187901,32.83257091,19.28197946,21.48543662,68.24805624,70.27731397,72.63407775,76.0791453,79.7853598,82.59525641,83.8751861,84.02200165,82.7917094,79.76162117,74.79991453,70.84772539
42,18.1,-66,"(18.1, -66)",199970.02,12.82436011,12.88822355,9.747883349,14.36891386,23.67153285,20.74787535,20.56330749,25.16952209,32.21028037,33.5187901,32.83257091,19.28197946,21.48543662,68.24805624,70.27731397,72.63407775,76.0791453,79.7853598,82.59525641,83.8751861,84.02200165,82.7917094,79.76162117,74.79991453,70.84772539
43,18.1,-65.9,"(18.1, -65.9)",1380054.79,12.82436011,12.88822355,9.747883349,14.36891386,23.67153285,20.74787535,20.56330749,25.16952209,32.21028037,33.5187901,32.83257091,19.28197946,21.48543662,68.24805624,70.27731397,72.63407775,76.0791453,79.7853598,82.59525641,83.8751861,84.02200165,82.7917094,79.76162117,74.79991453,70.84772539
44,18.1,-65.8,"(18.1, -65.8)",1380054.79,12.82436011,12.88822355,9.747883349,14.36891386,23.67153285,20.74787535,20.56330749,25.16952209,32.21028037,33.5187901,32.83257091,19.28197946,21.48543662,68.24805624,70.27731397,72.63407775,76.0791453,79.7853598,82.59525641,83.8751861,84.02200165,82.7917094,79.76162117,74.79991453,70.84772539
45,18.1,-65.5,"(18.1, -65.5)",1380054.79,13.74431301,13.18650794,11.79254302,17.36913357,27.16839135,24.56529517,25.94688027,28.50325203,35.40112465,28.76373626,28.9299691,18.61388074,22.83208559,68.24805624,70.27731397,72.63407775,76.0791453,79.7853598,82.59525641,83.8751861,84.02200165,82.7917094,79.76162117,74.79991453,70.84772539
46,18.2,-67.2,"(18.2, -67.2)",0,13.74431301,13.18650794,11.79254302,17.36913357,27.16839135,24.56529517,25.94688027,28.50325203,35.40112465,28.76373626,28.9299691,18.61388074,22.83208559,68.24805624,70.27731397,72.63407775,76.0791453,79.7853598,82.59525641,83.8751861,84.02200165,82.7917094,79.76162117,74.79991453,70.84772539
47,18.2,-67.1,"(18.2, -67.1)",0,13.74431301,13.18650794,11.79254302,17.36913357,27.16839135,24.56529517,25.94688027,28.50325203,35.40112465,28.76373626,28.9299691,18.61388074,22.83208559,68.24805624,70.27731397,72.63407775,76.0791453,79.7853598,82.59525641,83.8751861,84.02200165,82.7917094,79.76162117,74.79991453,70.84772539
48,18.2,-67,"(18.2, -67)",0,13.74431301,13.18650794,11.79254302,17.36913357,27.16839135,24.56529517,25.94688027,28.50325203,35.40112465,28.76373626,28.9299691,18.61388074,22.83208559,68.24805624,70.27731397,72.63407775,76.0791453,79.7853598,82.59525641,83.8751861,84.02200165,82.7917094,79.76162117,74.79991453,70.84772539
49,18.2,-66.8,"(18.2, -66.8)",0,7.694957983,8.299090909,12.1773555,22.2300813,24.80449251,14.53507341,21.00711462,26.63776635,37.09829407,33.03942953,20.69686411,8.083756345,19.69202305,68.24805624,70.27731397,72.63407775,76.0791453,79.7853598,82.59525641,83.8751861,84.02200165,82.7917094,79.76162117,74.79991453,70.84772539
50,18.2,-66.7,"(18.2, -66.7)",0,7.694957983,8.299090909,12.1773555,22.2300813,24.80449251,14.53507341,21.00711462,26.63776635,37.09829407,33.03942953,20.69686411,8.083756345,19.69202305,68.24805624,70.27731397,72.63407775,76.0791453,79.7853598,82.59525641,83.8751861,84.02200165,82.7917094,79.76162117,74.79991453,70.84772539
51,18.2,-66.6,"(18.2, -66.6)",0,12.82436011,12.88822355,9.747883349,14.36891386,23.67153285,20.74787535,20.56330749,25.16952209,32.21028037,33.5187901,32.83257091,19.28197946,21.48543662,68.24805624,70.27731397,72.63407775,76.0791453,79.7853598,82.59525641,83.8751861,84.02200165,82.7917094,79.76162117,74.79991453,70.84772539
