,pac,and,atl,balt,ber,carib,gom,ind,indo,jap,medi,natl,nino,north,npac,okh,pers,souchi,south,tropics,yel
5,-0.584242424242424,-22.79736842105263,-7.650909090909089,58.30000000000002,54.767575757575756,-3.740303030303033,-12.923333333333334,-10.491212121212124,15.711249999999996,-6.346969696969702,22.84,-7.455151515151513,27.33515151515152,17.35,-6.32121212121212,22.42666666666667,14.901250000000001,-15.839393939393938,-7.9703030303030316,-3.9218181818181805,2.1425806451612894
6,-10.36909090909091,66.76304347826087,-1.5690909090909095,99.91000000000001,12.425151515151516,-1.952424242424243,-7.06575757575758,0.4572727272727264,3.413333333333329,3.9257575757575744,3.841249999999995,2.3599999999999994,-27.501212121212117,24.567241379310346,-12.403030303030306,4.035757575757578,23.800645161290323,-11.421212121212115,-6.682424242424242,-4.597575757575758,16.666874999999997
7,-5.875151515151516,18.204838709677418,-2.1327272727272724,33.244615384615386,-21.820303030303027,-8.655454545454546,15.873636363636365,-4.945757575757575,59.96787878787879,26.62272727272728,1.4130303030302993,14.005454545454544,-22.09818181818181,9.069999999999997,5.96969696969697,-4.212727272727272,12.786666666666669,22.796969696969697,0.1509090909090898,-7.894545454545455,25.830000000000002
8,-0.910000000000001,24.620588235294118,-2.3364705882352954,102.7808333333334,-32.237058823529416,-22.924705882352942,9.239411764705881,-5.522941176470588,71.98294117647059,6.502941176470593,-0.14000000000000726,14.565882352941177,-7.921176470588233,0.06612903225806388,2.7470588235294118,3.4364705882352937,-9.963870967741931,22.564705882352946,2.6423529411764726,-4.8723529411764686,12.635151515151518
9,4.451111111111111,27.14999999999999,1.4514285714285708,69.26,-39.13411764705884,8.055714285714288,-1.7955555555555631,3.0300000000000002,45.69944444444448,6.580555555555554,6.998235294117649,-1.5914285714285739,-4.088333333333331,21.525000000000002,4.475000000000003,-4.173333333333329,-15.63428571428571,29.305555555555557,8.810000000000002,1.9016666666666664,31.683636363636364
10,10.590909090909092,35.36795918367347,5.828245614035088,83.53466666666668,-21.49428571428573,21.56316176470589,16.631159420289865,4.805833333333334,-21.40746268656716,19.7955223880597,12.703823529411768,8.418730158730153,13.961666666666668,9.160942028985513,16.821290322580648,-0.27117647058823563,-9.411567164179111,5.553840579710145,8.098064516129034,6.463050847457627,32.13428571428572
11,9.691052631578945,20.466875,17.015384615384615,31.94704918032787,3.330140845070421,45.788287671232865,20.070833333333336,8.601249999999993,-17.334722222222215,26.822058823529417,7.470757575757574,11.228661971830983,10.473219178082195,40.15047945205479,5.70402985074627,-0.38945945945945976,8.30378787878788,13.452123287671235,10.409014084507042,11.720983606557377,23.68571428571429
12,14.439384615384617,29.01610169491525,15.525857142857145,72.4027118644068,-6.863333333333331,6.696250000000001,14.15666666666667,7.942536231884059,-13.248000000000001,32.53949275362318,13.061714285714286,8.72985294117647,22.556408450704225,26.73283582089552,9.409571428571425,5.931388888888889,9.525362318840585,-2.8697142857142843,15.08234375,11.606363636363639,30.271538461538448
13,16.08762711864407,39.36963636363637,18.156271186440684,95.50057692307692,-6.092461538461545,-1.4296153846153807,19.629090909090912,11.06629032258064,-8.492153846153851,-4.328571428571425,0.3172881355932225,8.896904761904759,12.531825396825399,20.822583333333338,3.121587301587296,1.8909090909090915,-6.8331967213114755,-25.214538461538474,19.04237288135592,15.225000000000003,10.026034482758625
14,18.280555555555548,-4.56806451612903,19.38611111111111,70.33,1.2561111111111114,2.481666666666665,-0.2294444444444435,19.237777777777776,14.742222222222214,5.911428571428564,8.510555555555555,13.201666666666664,20.340555555555554,29.212727272727268,7.186666666666666,-3.311666666666667,-9.850555555555564,13.000555555555554,19.939444444444447,19.011111111111113,33.593529411764706
15,16.854054054054053,25.506666666666664,18.659459459459455,143.53,-5.77864864864865,17.723333333333336,18.835945945945948,23.13027027027027,20.374054054054056,24.467567567567574,4.058571428571428,10.320810810810812,2.5018918918918915,39.496756756756746,6.552432432432434,1.271891891891892,30.12166666666667,6.015945945945948,20.841621621621623,18.87027027027027,20.305294117647062
16,17.966136363636362,62.932115384615386,19.549999999999997,109.99545454545454,5.11,24.87615384615384,39.49519230769231,29.662127659574466,75.6251960784314,23.07884615384615,32.491600000000005,24.931956521739124,15.22279069767442,22.526274509803926,21.065638297872344,10.809183673469388,38.61372549019608,56.0554,20.60551020408163,22.923809523809517,34.33019230769229
17,22.99104166666668,35.770563380281686,26.6774647887324,49.74528301886792,8.736849315068493,-1.967671232876714,42.29095890410959,28.518333333333334,61.07164383561644,22.89722222222222,21.654507042253517,22.068124999999995,30.897361111111113,8.925915492957744,28.339154929577468,5.302777777777777,25.055972222222223,48.01021126760563,23.683802816901395,27.392253521126765,22.083571428571425
18,18.79581081081081,82.75537313432834,27.513513513513526,0.31821428571428256,1.8508108108108128,25.262465753424657,5.211216216216215,39.16810810810812,87.78986486486488,34.09459459459458,60.4236111111111,1.1820270270270232,20.311621621621622,5.090000000000002,20.356081081081083,14.36135135135135,63.125540540540555,61.81851351351351,29.777567567567566,29.234459459459465,20.9712676056338
19,18.149178082191785,36.230958904109585,27.227397260273975,83.15492537313433,7.810821917808223,16.43378378378378,15.275890410958908,36.15041095890412,88.3004109589041,22.597101449275364,18.396285714285717,4.888493150684934,25.618493150684916,38.479726027397255,23.053835616438352,3.8789041095890413,45.60219178082192,52.86712328767122,29.753698630136984,26.560958904109594,22.02936507936507
20,31.60889705882352,62.38840579710145,34.84782608695652,114.73343750000002,4.195797101449273,35.966666666666676,59.17507246376811,45.42376811594205,74.76801470588236,48.792753623188396,38.532500000000006,34.611884057971004,37.83637681159421,12.856176470588238,38.71666666666667,18.325217391304346,53.40734375000001,66.98434782608695,37.148405797101454,37.17608695652174,57.13253731343284
21,31.406176470588235,73.82942307692306,37.090384615384615,64.52588235294118,6.10269230769231,27.3121568627451,35.14673076923078,44.22538461538461,109.71326923076919,19.2078431372549,27.14346153846154,16.469901960784313,34.20615384615384,18.920434782608698,27.01598039215686,12.32423076923077,48.48500000000002,67.07865384615383,45.94692307692307,37.66442307692307,20.562244897959182
22,39.81166666666667,59.6975,38.155555555555544,25.06,40.273888888888884,54.23837837837838,48.44722222222222,45.55999999999998,32.918888888888894,47.92222222222222,40.35285714285714,27.7,52.35055555555555,42.2775,45.035555555555554,38.56777777777776,54.267777777777766,41.01777777777777,43.74722222222223,41.31666666666666,39.62891891891893
