Station ID, Station Name, First Year, Last Year, Year Range, % Complete, MSL Trends (mm/yr), +/- 95% CI (mm/yr) , MSL Trend (ft/century), +/- 95% CI (ft/century), Latitude, Longitude
612-002,"Keelung II, Taiwan",1956,1995,40,0.9896,0.46,0.78,0.15,0.26,25.1333,121.7333
620-011,"Incheon, Korea",1960,2016,57,0.9107,1.4,0.55,0.46,0.18,37.4519,126.5922
620-027,"Mokpo, South Korea",1960,2016,57,0.9912,3.85,0.49,1.26,0.16,34.7833,126.4
620-033,"Jeju, South Korea",1964,2016,53,0.9906,5.33,0.37,1.75,0.12,33.5167,126.5333
620-036,"Yeosu, Korea",1966,2016,51,0.9836,1.6,0.38,0.52,0.12,34.7472,127.7656
620-046,"Busan, South Korea",1960,2016,57,0.9956,2.21,0.31,0.73,0.1,35.1,129.0333
620-051,"Ulsan, South Korea",1962,2016,55,0.9846,1.43,0.5,0.47,0.16,35.5167,129.3833
620-061,"Mugho, South Korea",1965,2016,52,0.9791,1.28,0.39,0.42,0.13,37.55,129.1167
625-011,"Wonsan, North Korea",1962,1992,31,1.0,1.28,0.83,0.42,0.27,39.1667,127.45
630-001,"Yuzhno Kurilsk, Russia",1948,1994,47,0.9504,2.74,0.62,0.9,0.2,44.0167,145.8667
630-021,"Petropavlovsk-Kamchatsky, Russia",1957,2016,60,0.9972,2.97,0.47,0.97,0.15,52.9833,158.65
641-003,"Abashiri, Japan",1965,2016,52,0.9631,1.56,0.4,0.51,0.13,44.0167,144.2833
641-021,"Kushiro, Japan",1993,2016,24,0.9738,4.14,1.07,1.36,0.35,42.9667,144.3833
641-031,"Hakodate I, Japan",1961,2016,56,0.994,-0.82,0.36,-0.27,0.12,41.7833,140.7333
641-061,"Wakkanai, Japan",1975,2016,42,0.998,3.52,0.42,1.15,0.14,45.4,141.6833
642-022,"Ofunato II, Japan",1974,2010,37,0.8827,4.67,0.47,1.53,0.15,39.0197,141.7533
642-061,"Mera, Japan",1931,2016,86,0.9612,3.83,0.18,1.26,0.06,34.9167,139.8333
642-091,"Aburatsubo, Japan",1930,2016,87,0.977,3.67,0.19,1.2,0.06,35.15,139.6167
642-141,"Kushimoto, Japan",1957,2016,60,0.9874,3.85,0.5,1.26,0.17,33.4667,135.7833
645-011,"Hosojima, Japan",1930,2016,87,0.9808,-0.23,0.27,-0.08,0.09,32.4333,131.6667
645-021,"Aburatsu, Japan",1960,2016,57,1.0,2.21,0.41,0.72,0.14,31.5667,131.4167
645-064,"Nagasaki, Japan",1965,2016,52,0.9952,2.62,0.37,0.86,0.12,32.7333,129.8667
646-024,"Naha, Japan",1966,2016,51,1.0,2.18,0.61,0.71,0.2,26.2167,127.6667
647-023,"Hamada / Tonoura, Japan",1894,2011,28,0.9774,0.46,0.24,0.15,0.08,34.9,132.0667
647-068,"Toyama, Japan",1975,2016,42,0.9881,3.76,0.48,1.23,0.16,36.7667,137.2167
647-071,"Wajima, Japan",1930,2016,87,0.9837,-0.02,0.21,-0.01,0.07,37.4,136.9
648-001,"Chichijima, Japan",1975,2016,42,0.996,3.56,1.0,1.17,0.33,27.0833,142.1833
660-011,"Manila, Philippines",1963,2016,54,0.8438,14.62,0.74,4.8,0.24,14.5833,120.9667
660-021,"Legaspi, Philippines",1947,2016,70,0.9437,5.51,0.63,1.81,0.21,13.15,123.75
660-101,"Cebu, Philippines",1935,2016,82,0.7953,1.16,0.58,0.38,0.19,10.3,123.9167
660-121,"Davao, Philippines",1948,1993,46,0.9581,5.32,1.3,1.74,0.43,7.0833,125.6333
660-141,"Jolo, Philippines",1947,1996,50,0.85,0.19,1.12,0.06,0.37,6.0667,121.0
670-021,"Rabaul, Papua New Guinea",1966,1997,32,0.8255,-2.59,4.92,-0.85,1.61,-4.2,152.1833
680-021,"Weipa, Australia",1966,2015,50,0.7763,3.49,1.26,1.14,0.41,-12.6667,141.8667
680-041,"Cairns, Australia",1960,2015,56,0.7598,1.83,0.46,0.6,0.15,-16.9167,145.7833
680-051,"Townsville, Australia",1959,2016,58,0.9986,1.95,0.37,0.64,0.12,-19.25,146.8333
680-061,"Mackay, Australia",1960,2015,56,0.7718,2.09,0.49,0.69,0.16,-21.1,149.2333
680-073,"Bundaberg, Australia",1966,2016,51,0.982,1.58,0.51,0.52,0.17,-24.7667,152.3833
680-078,"Brisbane, Australia",1966,2016,51,0.8852,0.99,0.62,0.32,0.2,-27.3667,153.1667
680-140,"Sydney, Fort Denison 1 & 2, Australia",1886,2010,125,0.8486,0.65,0.1,0.21,0.03,-33.8547,151.2258
680-151,"Camp Cove, Australia",1948,1989,42,0.9601,0.38,0.47,0.13,0.15,-33.8333,151.2833
680-275,"Victor Harbour, Australia",1965,2015,51,0.9638,1.24,0.64,0.41,0.21,-35.5625,138.6354
680-311,"Port Adelaide (Outer Harbor), Australia",1940,2016,77,0.9791,2.34,0.32,0.77,0.11,-34.7798,138.4807
680-391,"Port Pirie, Australia",1941,2016,76,0.9923,0.99,0.35,0.32,0.11,-33.1776,138.0116
680-431,"Port Lincoln, Australia",1965,2015,51,0.9885,1.95,0.53,0.64,0.18,-34.7159,135.87
680-461,"Bunbury, Australia",1957,2015,59,0.9301,1.72,0.64,0.56,0.21,-33.3234,115.66
680-471,"Fremantle, Australia",1897,2016,120,0.9249,1.69,0.24,0.56,0.08,-32.066,115.748
680-479,"Carnarvon, Australia",1965,2015,51,0.8436,2.62,1.25,0.86,0.41,-24.8987,113.651
680-494,"Port Hedland, Australia",1966,2015,50,0.9199,2.35,1.5,0.77,0.49,-20.3176,118.5744
690-002,"Auckland II, New Zealand",1903,2000,98,0.9583,1.29,0.2,0.42,0.07,-36.85,174.7667
690-006,"Tauranga (Salisbury Wharf), New Zealand",1984,2016,33,0.8892,3.86,1.04,1.27,0.34,-37.641,176.1811
690-011,"Wellington, New Zealand",1944,2016,73,0.9572,2.71,0.26,0.89,0.09,-41.2833,174.7833
690-022,"Lyttelton II, New Zealand",1924,2000,77,0.8896,2.36,0.29,0.77,0.09,-43.606,172.722
690-032,"Dunedin, New Zealand",1900,2016,117,0.7256,1.37,0.19,0.45,0.06,-45.8787,170.5134
690-041,"Bluff/Southland Harbour, New Zealand",1917,2016,100,0.2964,1.62,0.21,0.53,0.07,-46.6,168.35
690-081,"Port Taranaki, New Zealand",1955,2016,62,0.8033,1.39,0.79,0.45,0.26,-39.0562,174.0344
690-105,"Whangarei Harbour (Marsden Point), New Zealand",1964,2016,53,0.5515,3.17,1.38,1.04,0.45,-35.7574,174.35
