Station ID, Station Name, First Year, Last Year, Year Range, % Complete, MSL Trends (mm/yr), +/- 95% CI (mm/yr) , MSL Trend (ft/century), +/- 95% CI (ft/century), Latitude, Longitude
050-201,"Furuogrund, Sweden",1916,2017,102,0.9967,-7.91,0.52,-2.59,0.17,64.9167,21.2333
060-001,"Kemi, Finland",1920,2016,97,0.9665,-6.83,0.57,-2.24,0.19,65.6667,24.5167
060-011,"Oulu/Uleaborg, Finland",1889,2016,128,0.9564,-6.33,0.38,-2.08,0.12,65.0333,25.4167
060-021,"Raahe/Brahestad, Finland",1922,2016,95,0.9347,-6.74,0.59,-2.21,0.19,64.6667,24.4
060-041,"Pietarsaari/Jakobstad, Finland",1914,2016,103,0.9837,-7.14,0.52,-2.34,0.17,63.7,22.7
060-051,"Vaasa/Vasa, Finland",1883,2016,134,0.9531,-7.25,0.32,-2.38,0.1,63.0833,21.5667
060-071,"Kaskinen/Kasko, Finland",1926,2016,91,0.9797,-6.37,0.6,-2.09,0.2,62.35,21.2167
060-101,"Mantyluoto, Finland",1910,2016,107,0.9859,-5.79,0.45,-1.9,0.15,61.6,21.4667
060-241,"Turku/Abo, Finland",1922,2016,95,0.9824,-3.58,0.55,-1.18,0.18,60.4333,22.1
060-281,"Foglo/Degerby, Finland",1923,2016,94,0.957,-3.71,0.53,-1.22,0.17,60.0333,20.3833
060-331,"Hanko/Hango, Finland",1887,2016,130,0.8909,-2.6,0.34,-0.85,0.11,60.1,23.55
060-351,"Helsinki, Finland",1879,2016,138,0.9994,-2.26,0.31,-0.74,0.1,60.15,24.9667
060-361,"Hamina, Finland",1928,2016,89,0.9877,-0.94,0.69,-0.31,0.23,60.5667,27.1833
080-181,"Pionersky, Russia",1926,1986,61,0.8648,1.84,0.89,0.6,0.29,54.95,20.2167
083-081,"Daugavgriva, Latvia",1875,1938,64,0.9254,0.16,0.99,0.05,0.32,57.05,24.0333
083-151,"Liepaja, Latvia",1865,1936,72,0.875,0.88,0.72,0.29,0.24,56.5333,20.9833
084-161,"Klaipeda, Lithuania",1898,2011,114,0.92,1.48,0.4,0.49,0.13,55.7,21.1333
110-022,"Gdansk/Nowy Port, Poland",1951,1999,49,1.0,2.91,1.24,0.96,0.41,54.4,18.6833
110-047,"Wladyslawowo, Poland",1951,1999,49,1.0,2.46,1.27,0.81,0.42,54.8,18.4167
110-057,"Ustka, Poland",1951,1999,49,1.0,1.71,1.17,0.56,0.38,54.5833,16.8667
110-072,"Kolobrzeg, Poland",1951,1999,49,1.0,1.27,1.08,0.42,0.36,54.1833,15.55
110-092,"Swinoujscie, Poland",1811,1999,189,0.9647,0.8,0.12,0.26,0.04,53.9167,14.2333
120-012,"Warnemunde, Germany",1855,2016,162,0.9995,1.25,0.11,0.41,0.03,54.1833,12.0833
120-022,"Wismar, Germany",1848,2016,169,0.9995,1.42,0.09,0.47,0.03,53.9,11.4667
125-001,"Travemunde, Germany",1856,2016,161,0.9508,1.64,0.09,0.54,0.03,53.9581,10.8722
130-001,"Gedser, Denmark",1892,2012,121,0.9938,1.18,0.16,0.39,0.05,54.5667,11.9333
130-021,"Kobenhavn, Denmark",1889,2012,124,0.9832,0.54,0.2,0.18,0.06,55.6833,12.6
130-031,"Hornbaek, Denmark",1891,2012,122,0.9843,0.39,0.19,0.13,0.06,56.1,12.4667
130-041,"Korsor, Denmark",1897,2012,116,0.9827,0.84,0.18,0.28,0.06,55.3333,11.1333
130-051,"Slipshavn, Denmark",1896,2012,117,0.9658,1.03,0.15,0.34,0.05,55.2833,10.8333
130-071,"Fredericia, Denmark",1889,2012,124,0.9919,1.1,0.11,0.36,0.04,55.5667,9.7667
130-081,"Aarhus, Denmark",1888,2012,125,0.9759,0.61,0.11,0.2,0.04,56.15,10.2167
130-091,"Frederikshavn, Denmark",1894,2012,119,0.9706,0.1,0.15,0.03,0.05,57.4333,10.5667
130-101,"Hirtshals, Denmark",1892,2012,121,0.9586,-0.22,0.2,-0.07,0.07,57.6,9.9667
130-121,"Esbjerg, Denmark",1889,2012,124,0.9879,1.23,0.25,0.4,0.08,55.4667,8.4333
140-012,"Cuxhaven 2, Germany",1843,2016,174,1.0005,2.11,0.14,0.69,0.05,53.8667,8.7167
150-001,"Delfzijl, Netherlands",1865,2016,152,1.0005,1.73,0.14,0.57,0.05,53.3264,6.9331
150-021,"Harlingen, Netherlands",1865,2016,152,1.0005,1.41,0.14,0.46,0.04,53.5556,5.4094
150-031,"Den Helder, Netherlands",1865,2016,152,1.0005,1.47,0.11,0.48,0.04,52.9644,4.745
150-041,"Ijmuiden, Netherlands",1871,2016,130,1.0006,2.1,0.14,0.69,0.05,52.4622,4.5547
150-051,"Hoek van Holland, Netherlands",1864,2016,153,1.0005,2.39,0.1,0.78,0.03,51.9775,4.12
150-061,"Maassluis, Netherlands",1848,2016,169,1.0005,1.67,0.11,0.55,0.03,51.9175,4.2497
150-101,"Vlissingen, Netherlands",1862,2016,130,1.0005,2.16,0.12,0.71,0.04,51.4422,3.5961
160-011,"Zeebrugge, Belgium",1942,2016,75,0.7242,2.65,0.35,0.87,0.11,51.35,3.2
160-021,"Oostende, Belgium",1937,2016,80,0.9343,1.8,0.22,0.59,0.07,51.2333,2.9167
160-031,"Nieuwpoort, Belgium",1943,2016,74,0.7012,2.41,0.38,0.79,0.12,51.15,2.7333
170-001,"Lerwick, UK",1957,2016,60,0.9066,0.26,0.36,0.09,0.12,60.15,-1.1333
170-005,"Wick, UK",1965,2016,52,0.9181,1.29,0.5,0.42,0.16,58.441,-3.0863
170-011,"Aberdeen I & II, UK",1862,2011,150,0.9103,0.72,0.09,0.24,0.03,57.15,-2.0833
170-053,"North Shields, UK",1895,2016,122,0.9371,1.89,0.13,0.62,0.04,55.0,-1.4333
170-061,"Immingham, UK",1959,2011,53,0.9662,1.11,0.4,0.36,0.13,53.6302,-0.1874
170-068,"Lowestoft, UK",1955,2016,62,0.9515,2.55,0.35,0.84,0.11,52.4731,1.7501
170-081,"Southend, UK",1933,2015,83,0.7789,1.22,0.19,0.4,0.06,51.5145,0.7238
170-092,"Tower Pier, UK",1929,2013,85,0.6546,1.43,0.35,0.47,0.11,51.5,0.0833
170-101,"Sheerness, UK",1832,2009,178,0.544,1.66,0.1,0.55,0.03,51.45,0.75
170-111,"Dover, UK",1961,2016,56,0.8733,2.26,0.3,0.74,0.1,51.1144,1.3227
170-131,"Portsmouth, UK",1961,2016,56,0.946,1.62,0.46,0.53,0.15,50.8022,-1.1113
170-157,"Devonport, UK",1961,2016,56,0.9563,2.09,0.61,0.69,0.2,50.3684,-4.1852
170-161,"Newlyn, UK",1915,2016,102,0.9852,1.81,0.16,0.59,0.05,50.1,-5.55
170-191,"Holyhead, UK",1938,2016,79,0.8215,2.27,0.3,0.74,0.1,53.3139,-4.6204
170-211,"Liverpool, UK",1858,1983,126,0.6962,1.14,0.19,0.37,0.06,53.4,-3.0
170-225,"Heysham, UK",1960,2015,56,0.8378,2.34,0.68,0.77,0.22,54.0318,-2.9202
170-236,"Portpatrick, UK",1968,2011,44,0.9676,2.21,0.62,0.72,0.2,54.8426,-5.12
170-241,"Millport, UK",1968,2016,49,0.7983,1.6,0.66,0.53,0.22,55.7498,-4.9063
170-251,"Stornoway, UK",1977,2016,40,0.8539,2.28,0.75,0.75,0.25,58.2,-6.3833
175-071,"Dublin, Ireland",1938,2001,64,0.9922,0.07,0.42,0.02,0.14,53.35,-6.2167
190-001,"Dunkerque, France",1942,2016,75,0.6622,1.63,0.33,0.54,0.11,51.05,2.3667
190-011,"Calais, France",1941,2016,76,0.5182,0.41,0.58,0.14,0.19,50.9694,1.8677
190-031,"Dieppe, France",1954,2016,63,0.7232,4.36,0.46,1.43,0.15,49.9291,1.0838
190-051,"Le Havre, France",1938,2016,79,0.6621,2.04,0.42,0.67,0.14,49.4333,0.1
190-091,"Brest, France",1817,2016,200,0.8964,1.08,0.08,0.35,0.03,48.3833,-4.5
190-111,"St. Nazaire, France",1941,2016,76,0.4405,1.56,0.6,0.51,0.2,47.27,-2.2
190-121,"La Rochelle-La Pallice, France",1941,2016,76,0.5188,1.52,0.76,0.5,0.25,46.1585,-1.2207
190-126,"Port Bloc, France",1959,2016,58,0.4905,1.46,0.7,0.48,0.23,45.5685,-1.0616
190-139,"Boucau, France",1967,2016,50,0.8316,1.47,0.83,0.48,0.27,43.5273,-1.5148
190-141,"St. Jean de Luz (Socoa), France",1942,2016,75,0.5793,1.53,0.51,0.5,0.17,43.4,-1.6833
200-011,"Santander, Spain",1943,2016,74,0.9762,2.21,0.35,0.72,0.12,43.4613,-3.7908
200-030,"La Coruna, Spain",1943,2016,74,0.9808,2.43,0.38,0.8,0.12,43.3667,-8.4
200-041,"Vigo, Spain",1943,2016,74,0.9842,2.12,0.39,0.7,0.13,42.238,-8.731
210-021,"Cascais, Portugal",1882,1993,112,0.9263,1.32,0.15,0.43,0.05,38.6833,-9.4167
210-031,"Lagos, Portugal",1908,1999,92,0.7907,1.62,0.24,0.53,0.08,37.1,-8.6667
215-001,"Gibraltar, Gibraltar",1961,2014,54,0.6025,-0.3,0.45,-0.1,0.15,36.1333,-5.35
220-003,"Cadiz III, Spain",1961,2010,50,0.97,4.02,0.74,1.32,0.24,36.5333,-6.2833
220-011,"Algeciras, Spain",1943,2002,60,0.81,0.43,0.3,0.14,0.1,36.1167,-5.4333
220-021,"Tarifa, Spain",1943,2016,74,0.9443,1.18,0.45,0.39,0.15,36.0,-5.6
220-031,"Malaga, Spain",1944,2013,70,0.8236,0.76,0.46,0.25,0.15,36.7167,-4.4167
220-052,"Alicante II, Spain",1960,1997,38,0.9714,-0.21,0.56,-0.07,0.18,38.3389,-0.4812
230-006,"Port Vendres, France",1984,2016,33,0.7418,3.63,0.87,1.19,0.29,42.5201,3.1073
230-051,"Marseille, France",1885,2016,132,0.9703,1.3,0.13,0.43,0.04,43.3,5.35
230-061,"Toulon, France",1961,2016,56,0.5589,0.94,0.53,0.31,0.18,43.1129,5.9147
230-081,"Nice, France",1978,2016,39,0.8929,2.84,0.71,0.93,0.23,43.6956,7.2855
250-011,"Genova, Italy",1884,1997,114,0.7829,1.2,0.14,0.39,0.05,44.4,8.9
270-051,"Venezia (S. Stefano), Italy",1872,1920,49,0.988,2.63,0.68,0.86,0.22,45.4167,12.3333
270-054,"Venezia (Punta della Salute), Italy",1909,2000,92,0.942,2.43,0.27,0.8,0.09,45.4333,12.3333
270-061,"Trieste, Italy",1875,2017,143,0.8665,1.3,0.15,0.43,0.05,45.6474,13.7585
280-006,"Rovinj, Croatia",1955,2014,60,0.9972,0.83,0.44,0.27,0.14,45.0833,13.6283
280-011,"Bakar, Croatia",1930,2013,84,0.8699,1.09,0.35,0.36,0.11,45.3,14.5333
280-021,"Split Rt Marjana, Croatia",1952,2008,57,0.9985,0.61,0.46,0.2,0.15,43.5083,16.3917
280-031,"Split Harbour-Gradska Luka, Croatia",1954,2014,61,1.0014,1.05,0.45,0.34,0.15,43.5067,16.4417
280-081,"Dubrovnik, Croatia",1956,2014,59,0.9915,1.54,0.42,0.5,0.14,42.6583,18.0633
290-001,"Preveza, Greece",1969,2016,48,0.7757,0.23,0.91,0.07,0.3,38.9591,20.7566
290-004,"Levkas, Greece",1969,2016,48,0.8621,5.92,0.82,1.94,0.27,38.8345,20.7121
290-011,"Posidhonia, Greece",1969,2016,48,0.7113,0.94,1.36,0.31,0.45,37.9512,22.9601
290-017,"Katakolon, Greece",1969,2016,48,0.8748,2.91,0.6,0.95,0.2,37.6333,21.3167
290-021,"Kalamai, Greece",1969,2016,48,0.7496,3.97,0.55,1.3,0.18,37.0167,22.1333
290-031,"Piraievs, Greece",1969,2016,48,0.8296,-0.24,1.12,-0.08,0.37,37.9373,23.6267
290-034,"Khalkis North, Greece",1969,2016,48,0.8852,0.83,0.84,0.27,0.28,38.4667,23.6
290-051,"Thessaloniki, Greece",1969,2016,48,0.8939,3.95,0.68,1.3,0.22,40.6167,23.0333
290-065,"Alexandroupolis, Greece",1969,2016,48,0.887,1.96,0.68,0.64,0.22,40.85,25.8833
290-071,"Khios, Greece",1969,2015,47,0.8554,3.79,0.8,1.24,0.26,38.3833,26.15
290-081,"Siros, Greece",1969,2016,48,0.8574,-2.45,0.92,-0.8,0.3,37.44,24.9458
290-091,"Leros, Greece",1969,2016,48,0.8234,1.41,0.59,0.46,0.19,37.0833,26.8833
290-110,"Rodhos, Greece",1969,2011,43,0.6944,0.91,1.19,0.3,0.39,36.4333,28.2333
295-021,"Bourgas, Bulgaria",1929,1996,68,0.8627,1.91,0.9,0.63,0.3,42.4833,27.4833
295-051,"Varna, Bulgaria",1929,1996,68,0.951,1.22,0.85,0.4,0.28,43.1833,27.9167
297-021,"Constantza, Romania",1933,1997,65,0.95,1.37,0.97,0.45,0.32,44.1667,28.6667
298-041,"Sevastopol, Ukraine",1910,1994,85,0.97,1.26,0.78,0.41,0.25,44.6167,33.5333
300-001,"Tuapse, Russia",1917,2016,100,0.9908,2.46,0.52,0.81,0.17,44.1,39.0667
305-021,"Poti, Georgia",1874,2015,142,0.9442,6.68,0.27,2.19,0.09,42.1667,41.6833
305-031,"Batumi, Georgia",1882,2015,134,0.8687,1.96,0.36,0.64,0.12,41.6333,41.7
330-071,"Alexandria, Egypt",1944,2006,63,0.9576,1.78,0.37,0.58,0.12,31.2167,29.9167
340-001,"Ceuta, Spain",1944,2016,73,0.9691,0.66,0.25,0.22,0.08,35.9,-5.3167
360-001,"Ponta Delgada, Portugal",1978,2016,39,0.7359,3.56,0.72,1.17,0.24,37.7333,-25.6667
370-001,"Arrecife, Spain",1949,2016,68,0.814,0.49,0.41,0.16,0.13,28.9718,-13.53
370-032,"Tenerife / Santa Cruz, Spain",1927,2009,20,0.8804,1.64,0.31,0.54,0.1,28.4833,-16.2333
410-001,"Takoradi, Ghana",1929,2012,84,0.581,2.46,0.56,0.81,0.18,4.8833,-1.75
427-001,"Walvis Bay, Namibia",1958,2015,58,0.5429,0.95,0.81,0.31,0.27,-22.95,14.5
427-011,"Luderitz, Namibia",1958,2015,58,0.6808,2.06,0.6,0.68,0.2,-26.6433,15.155
430-021,"Port Nolloth, South Africa",1959,2016,58,0.7747,1.79,0.38,0.59,0.13,-29.2567,16.8678
430-045,"Cape Town (Granger Bay), South Africa",1967,2016,50,0.6818,2.32,1.23,0.76,0.4,-33.9053,18.4347
430-061,"Simons Bay, South Africa",1957,2016,60,0.7969,2.14,0.24,0.7,0.08,-34.1833,18.4333
430-086,"Knysna, South Africa",1960,2016,57,0.7189,2.08,0.82,0.68,0.27,-34.0494,23.0456
